number1,number2,result
90781,32944,123725
90784,60365,151149
48256,88305,136561
5827,27925,33752
86952,95225,182177
93507,28116,121623
16735,73228,89963
71611,43054,114665
46592,22561,69153
85146,96453,181599
42918,1806,44724
50838,60555,111393
15514,31612,47126
65003,82164,147167
4138,6688,10826
20957,1827,22784
60599,55926,116525
18976,9609,28585
51855,23707,75562
53271,40002,93273
35312,26508,61820
96534,88570,185104
99418,41280,140698
72064,94835,166899
63668,38765,102433
39,46310,46349
36599,56669,93268
29,48748,48777
3589,82162,85751
19972,57858,77830
2564,51154,53718
26939,66992,93931
43241,70215,113456
67045,54567,121612
37745,75289,113034
7560,35001,42561
6888,13596,20484
61961,98920,160881
2916,82496,85412
45049,34713,79762
74913,47812,122725
29351,9934,39285
68842,18087,86929
68491,52152,120643
38881,8256,47137
11082,56518,67600
17475,30951,48426
36888,40698,77586
28764,41018,69782
1347,63385,64732
41142,62140,103282
60322,51735,112057
84831,7204,92035
60953,71349,132302
74146,10701,84847
77508,59213,136721
22345,94276,116621
35374,57642,93016
29030,11861,40891
99904,53736,153640
10622,75994,86616
49712,49391,99103
69221,34884,104105
78668,5074,83742
80037,27094,107131
85382,75710,161092
50855,29576,80431
94968,87807,182775
51662,91196,142858
1751,97748,99499
65032,97348,162380
87513,10556,98069
95524,67168,162692
87875,86907,174782
11884,93108,104992
43625,32472,76097
39244,33529,72773
88275,28291,116566
66927,99320,166247
23441,26686,50127
40919,69349,110268
61169,2516,63685
88052,65161,153213
3101,69631,72732
864,32164,33028
15707,52803,68510
91570,21672,113242
96662,40747,137409
36441,91647,128088
26822,63847,90669
66051,84453,150504
76804,81326,158130
45363,55888,101251
10034,53218,63252
13528,15842,29370
92118,87625,179743
3814,66486,70300
43693,6627,50320
60444,75023,135467
43872,86379,130251
7185,57115,64300
5156,15501,20657
12242,8426,20668
28354,68538,96892
71563,93470,165033
91528,38904,130432
17133,48292,65425
1318,27101,28419
96622,93767,190389
51890,72543,124433
60603,14205,74808
49147,6319,55466
21749,97537,119286
2380,19481,21861
93432,50337,143769
12549,20518,33067
92542,45905,138447
72837,39575,112412
74652,62993,137645
8610,1923,10533
98994,45326,144320
82750,40444,123194
51133,28452,79585
13710,93588,107298
61151,63933,125084
42260,33751,76011
26133,59378,85511
5129,67461,72590
17195,26938,44133
54401,3344,57745
91112,32330,123442
29524,81165,110689
48024,17005,65029
69943,72754,142697
38690,86486,125176
75482,90488,165970
2450,69781,72231
28285,46417,74702
56287,98763,155050
68263,4153,72416
81076,70716,151792
39003,52624,91627
67135,92192,159327
57941,25307,83248
15364,25349,40713
31184,66517,97701
60752,11931,72683
19665,9769,29434
36000,86814,122814
25754,84027,109781
64951,94716,159667
54926,33102,88028
47229,80987,128216
38244,55339,93583
18763,6745,25508
50200,3028,53228
31058,50443,81501
92192,54086,146278
62701,29741,92442
66485,78499,144984
52758,75575,128333
16648,83125,99773
75589,27733,103322
7187,45955,53142
89692,83859,173551
74549,83000,157549
76963,19694,96657
44298,69746,114044
79956,92939,172895
12424,9977,22401
75738,35237,110975
51112,44254,95366
76697,5525,82222
18404,74266,92670
5404,41103,46507
26137,92121,118258
13420,19240,32660
79505,58430,137935
89903,67606,157509
14135,75554,89689
18432,13687,32119
20895,15898,36793
62373,98167,160540
63362,8367,71729
55586,73659,129245
20725,16860,37585
46500,31767,78267
19,25636,25655
4869,81519,86388
70286,60491,130777
23296,36214,59510
54309,19018,73327
48757,25210,73967
73264,11334,84598
74647,71491,146138
65134,20784,85918
5667,83169,88836
68026,40722,108748
95057,77532,172589
6997,73086,80083
6788,52414,59202
51736,26286,78022
95898,75718,171616
731,29615,30346
3306,81313,84619
78520,57889,136409
29453,72605,102058
95948,95532,191480
85556,78915,164471
42791,9819,52610
66471,77490,143961
90436,77391,167827
66842,25598,92440
36124,86852,122976
66161,47789,113950
70425,19505,89930
62002,43259,105261
56488,69243,125731
10191,85747,95938
3834,35162,38996
34602,35370,69972
1264,17714,18978
88785,44027,132812
46474,12042,58516
40624,86186,126810
71995,72886,144881
61263,59791,121054
40411,53328,93739
81392,94871,176263
84700,6477,91177
97467,22379,119846
52461,81539,134000
50614,31032,81646
77378,80119,157497
46860,30027,76887
75091,40911,116002
25603,76107,101710
59987,78601,138588
41071,24984,66055
82077,55152,137229
17749,24031,41780
53291,96632,149923
72831,55238,128069
86804,78400,165204
91630,86768,178398
46960,17890,64850
61787,17771,79558
75856,97194,173050
81458,89657,171115
14743,62800,77543
16843,55380,72223
29849,22260,52109
21712,59391,81103
39470,33498,72968
43021,88365,131386
97852,46589,144441
84395,85507,169902
95192,16334,111526
4554,54373,58927
68193,43568,111761
35031,21951,56982
86158,33449,119607
1712,41092,42804
862,19299,20161
9127,49970,59097
42264,55350,97614
97886,63108,160994
39643,4674,44317
8877,40700,49577
2147,31264,33411
48790,79807,128597
43905,94586,138491
94351,13303,107654
39354,36627,75981
20756,35192,55948
53639,2569,56208
42982,66941,109923
31630,54287,85917
78601,14280,92881
86708,19636,106344
92355,64577,156932
42039,77922,119961
38219,84091,122310
94869,13684,108553
41488,56847,98335
2253,67880,70133
49931,68301,118232
18059,47434,65493
39680,22482,62162
87402,42368,129770
45367,82976,128343
10375,38974,49349
88197,21159,109356
76760,7601,84361
44377,36698,81075
42772,4677,47449
92422,70574,162996
69494,46386,115880
83339,23685,107024
71454,34348,105802
28986,34692,63678
71416,13890,85306
32634,99473,132107
50783,6373,57156
62264,55350,117614
8345,43536,51881
58617,95327,153944
87142,9327,96469
50677,12622,63299
75227,99537,174764
11033,88418,99451
19455,63391,82846
5849,53754,59603
96159,23076,119235
80922,95399,176321
11224,90635,101859
69288,38241,107529
2735,79216,81951
14253,96180,110433
66041,70686,136727
95413,21346,116759
58670,77245,135915
34234,505,34739
64321,2621,66942
5030,97006,102036
85878,58534,144412
10969,89987,100956
14501,67543,82044
29085,19688,48773
8703,30337,39040
37987,66354,104341
74059,64249,138308
37721,25067,62788
70760,4082,74842
58293,29139,87432
60473,96461,156934
32195,84437,116632
63286,98382,161668
49997,13360,63357
13228,63633,76861
4222,75281,79503
31787,98662,130449
94375,25529,119904
68649,86023,154672
14063,88887,102950
98859,79948,178807
8842,20606,29448
88284,23506,111790
26108,88163,114271
40959,37199,78158
59848,26408,86256
32052,34191,66243
42146,82281,124427
90200,5995,96195
40621,43634,84255
4442,46018,50460
20684,36205,56889
90356,93217,183573
31124,82939,114063
60847,27821,88668
59100,62840,121940
4473,79800,84273
86696,66549,153245
89822,91734,181556
30772,31409,62181
91488,89313,180801
56860,91731,148591
4735,54727,59462
81597,36963,118560
1445,41503,42948
99930,89594,189524
16889,67488,84377
50151,34145,84296
17769,53328,71097
58588,85267,143855
62763,60372,123135
50822,19271,70093
41482,28966,70448
45452,70755,116207
54358,88358,142716
80286,23212,103498
12481,3766,16247
21808,27554,49362
6794,93190,99984
82200,23202,105402
75974,10025,85999
71549,49043,120592
92988,20191,113179
73119,74324,147443
8257,81700,89957
46330,47955,94285
12421,47117,59538
37219,64395,101614
93458,86712,180170
55137,85384,140521
40270,4835,45105
45785,22162,67947
22330,73655,95985
91065,59969,151034
23915,31446,55361
6138,36351,42489
95683,17859,113542
19950,86853,106803
68171,30644,98815
26858,7076,33934
98764,33321,132085
67794,54506,122300
37044,20524,57568
15529,32795,48324
64315,23203,87518
27502,35007,62509
13948,1171,15119
94839,79352,174191
88125,74356,162481
52140,19099,71239
76059,45927,121986
53147,35513,88660
10020,47149,57169
10164,48469,58633
95066,62752,157818
1277,56759,58036
53190,10986,64176
37243,19703,56946
29611,20319,49930
51625,17,51642
13221,23430,36651
58835,88320,147155
86838,73646,160484
69997,48803,118800
35387,45919,81306
47964,92722,140686
20975,17031,38006
49889,96795,146684
59086,17871,76957
93017,32291,125308
6012,11293,17305
72187,84311,156498
12075,6103,18178
49620,48526,98146
3023,39569,42592
94154,59000,153154
30441,55943,86384
44734,77148,121882
62237,14781,77018
99348,588,99936
90294,33568,123862
69220,90223,159443
78323,58713,137036
35803,2209,38012
30364,57356,87720
55469,55644,111113
21204,47735,68939
7328,33141,40469
59831,10010,69841
94633,72513,167146
50552,31373,81925
85629,67547,153176
50225,57646,107871
56265,67214,123479
41915,34037,75952
95256,68496,163752
17749,57729,75478
36199,15370,51569
56102,38370,94472
46264,26329,72593
76911,60144,137055
81934,31214,113148
7623,69846,77469
39031,85501,124532
95053,51809,146862
2674,70047,72721
68853,28632,97485
71023,30765,101788
2388,42131,44519
44848,84854,129702
45472,98622,144094
6817,27130,33947
71447,67603,139050
32791,9890,42681
60901,28991,89892
96431,66404,162835
67835,80632,148467
43072,17697,60769
83296,20702,103998
20335,20693,41028
21485,61933,83418
22556,96117,118673
36215,88952,125167
44886,48482,93368
8805,25546,34351
62059,91980,154039
20498,44109,64607
20606,17163,37769
90297,19326,109623
50725,56084,106809
26823,34696,61519
84136,54679,138815
52388,96113,148501
92675,39528,132203
12288,42606,54894
71818,18067,89885
7334,87673,95007
64307,40409,104716
36400,1947,38347
98954,20689,119643
67748,2084,69832
34242,54296,88538
29400,71093,100493
92326,49210,141536
19187,33699,52886
88926,57414,146340
78820,41392,120212
46571,20436,67007
73531,80422,153953
86940,12596,99536
50713,34562,85275
92481,72403,164884
15006,76040,91046
6536,12052,18588
23643,76453,100096
69396,98469,167865
11376,71350,82726
77913,67535,145448
62523,62864,125387
71306,37364,108670
25436,12151,37587
38169,89663,127832
87632,38312,125944
38497,46931,85428
37823,54540,92363
78045,61690,139735
45950,93184,139134
32751,87597,120348
57008,13006,70014
21220,19084,40304
43147,62987,106134
68091,73791,141882
20305,32671,52976
35895,54926,90821
96863,37870,134733
42724,45859,88583
34496,30581,65077
60939,60206,121145
78241,54302,132543
65565,66464,132029
36546,34286,70832
75290,92641,167931
54925,80730,135655
64136,90195,154331
53209,16491,69700
37832,33944,71776
35795,73279,109074
8812,23581,32393
58866,43031,101897
397,58056,58453
60797,72552,133349
83673,78604,162277
73814,97490,171304
16304,44613,60917
94566,3816,98382
95395,211,95606
25678,92398,118076
19481,26822,46303
2260,20199,22459
45082,84058,129140
53821,43211,97032
84938,65572,150510
5653,43488,49141
46228,14930,61158
17230,78247,95477
51081,53236,104317
54315,70294,124609
88409,84296,172705
96732,69643,166375
29432,57429,86861
57511,37764,95275
73302,93199,166501
80386,23323,103709
41026,57298,98324
42668,20157,62825
16950,8203,25153
36052,76326,112378
61588,43728,105316
60340,60095,120435
73824,15570,89394
6561,7563,14124
38686,5049,43735
14226,76448,90674
72952,34501,107453
56342,11557,67899
70507,88778,159285
85550,56446,141996
30567,62373,92940
78665,46931,125596
81573,25522,107095
88627,38699,127326
59929,55085,115014
62905,74301,137206
88565,88507,177072
5528,73942,79470
5661,51402,57063
93622,57980,151602
64827,44801,109628
35532,23688,59220
44593,84571,129164
